date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:30	36002/36002	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:40%20GMT	https://bookland.dexignzone.com/xhtml/images/services/service3.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/services/service3.jpg	(from https://bookland.dexignzone.com/xhtml/services.html)
21:28:30	24912/24912	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:37%20GMT	https://bookland.dexignzone.com/xhtml/images/services/service4.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/services/service4.jpg	(from https://bookland.dexignzone.com/xhtml/services.html)
21:28:30	11703/11703	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:37%20GMT	https://bookland.dexignzone.com/xhtml/images/services/service5.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/services/service5.jpg	(from https://bookland.dexignzone.com/xhtml/services.html)
21:28:31	22422/22422	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:40%20GMT	https://bookland.dexignzone.com/xhtml/images/services/service6.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/services/service6.jpg	(from https://bookland.dexignzone.com/xhtml/services.html)
21:28:31	57673/57673	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:46%20GMT	https://bookland.dexignzone.com/xhtml/images/about/pic2.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/about/pic2.jpg	(from https://bookland.dexignzone.com/xhtml/faq.html)
21:28:32	9817/9817	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2011:05:23%20GMT	https://bookland.dexignzone.com/xhtml/vendor/countdown/jquery.final-countdown.js	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/countdown/jquery.final-countdown.js	(from https://bookland.dexignzone.com/xhtml/coming-soon.html)
21:28:32	94409/94409	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:47%20GMT	https://bookland.dexignzone.com/xhtml/images/about/pic1.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/about/pic1.jpg	(from https://bookland.dexignzone.com/xhtml/faq.html)
21:28:32	29924/29924	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:54%20GMT	https://bookland.dexignzone.com/xhtml/images/background/uc.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/background/uc.jpg	(from https://bookland.dexignzone.com/xhtml/under-construction.html)
21:28:32	115509/115509	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2011:05:26%20GMT	https://bookland.dexignzone.com/xhtml/vendor/countdown/kinetic.js	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/countdown/kinetic.js	(from https://bookland.dexignzone.com/xhtml/coming-soon.html)
21:28:32	7489/7489	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:15:07%20GMT	https://bookland.dexignzone.com/xhtml/images/books/grid/book8.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/books/grid/book8.jpg	(from https://bookland.dexignzone.com/xhtml/books-grid-view.html)
21:28:33	18333/18333	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:52%20GMT	https://bookland.dexignzone.com/xhtml/images/books/grid/book13.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/books/grid/book13.jpg	(from https://bookland.dexignzone.com/xhtml/books-grid-view.html)
21:28:33	11362/11362	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:51%20GMT	https://bookland.dexignzone.com/xhtml/images/books/grid/book10.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/books/grid/book10.jpg	(from https://bookland.dexignzone.com/xhtml/books-grid-view.html)
21:28:33	4220/4220	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202022%2011:05:30%20GMT	https://bookland.dexignzone.com/xhtml/vendor/nouislider/nouislider.min.css	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/nouislider/nouislider.min.css	(from https://bookland.dexignzone.com/xhtml/books-grid-view-sidebar.html)
21:28:34	9142/9142	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2011:06:05%20GMT	https://bookland.dexignzone.com/xhtml/vendor/wnumb/wNumb.js	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/wnumb/wNumb.js	(from https://bookland.dexignzone.com/xhtml/books-grid-view-sidebar.html)
21:28:34	26460/26460	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2011:05:33%20GMT	https://bookland.dexignzone.com/xhtml/vendor/nouislider/nouislider.min.js	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/nouislider/nouislider.min.js	(from https://bookland.dexignzone.com/xhtml/books-grid-view-sidebar.html)
21:28:35	42766/42766	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2011:05:37%20GMT	https://bookland.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.js	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.js	(from https://bookland.dexignzone.com/xhtml/books-list.html)
21:28:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Sep%202024%2018:28:34%20GMT	https://bookland.dexignzone.com/xhtml/blog-details.html	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/blog-details.html	(from https://bookland.dexignzone.com/xhtml/blog-grid.html)
21:28:35	82071/82071	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:37%20GMT	https://bookland.dexignzone.com/xhtml/images/blog/large/blog2.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/blog/large/blog2.jpg	(from https://bookland.dexignzone.com/xhtml/blog-grid.html)
21:28:36	74056/74056	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:34%20GMT	https://bookland.dexignzone.com/xhtml/images/blog/large/blog1.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/blog/large/blog1.jpg	(from https://bookland.dexignzone.com/xhtml/blog-grid.html)
21:28:36	71499/71499	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:38%20GMT	https://bookland.dexignzone.com/xhtml/images/blog/large/blog3.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/blog/large/blog3.jpg	(from https://bookland.dexignzone.com/xhtml/blog-grid.html)
21:28:36	54490/54490	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:41%20GMT	https://bookland.dexignzone.com/xhtml/images/blog/large/blog4.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/blog/large/blog4.jpg	(from https://bookland.dexignzone.com/xhtml/blog-grid.html)
21:28:37	5531/5531	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:44%20GMT	https://bookland.dexignzone.com/xhtml/images/blog/recent-blog/blog1.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/blog/recent-blog/blog1.jpg	(from https://bookland.dexignzone.com/xhtml/blog-large-sidebar.html)
21:28:37	6002/6002	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:44%20GMT	https://bookland.dexignzone.com/xhtml/images/blog/recent-blog/blog2.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/blog/recent-blog/blog2.jpg	(from https://bookland.dexignzone.com/xhtml/blog-large-sidebar.html)
21:28:37	4850/4850	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:14:48%20GMT	https://bookland.dexignzone.com/xhtml/images/blog/recent-blog/blog3.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/blog/recent-blog/blog3.jpg	(from https://bookland.dexignzone.com/xhtml/blog-large-sidebar.html)
